05:47:13.395 AM 17-Feb-2015
Volume large?, Entrance Size narrow?,Number of Guards
true,true,1
true,true,2
true,true,1
true,false,2
true,false,0
true,false,3
false,true,0
false,true,1
false,true,0
false,false,0
false,false,0
false,false,0
false,false,0
05:47:26.680 AM 17-Feb-2015
Volume large?, Entrance Size narrow?,Number of Guards
true,true,0
true,true,2
true,true,1
true,false,0
true,false,0
true,false,2
false,true,2
false,true,1
false,true,2
false,false,0
false,false,0
false,false,0
false,false,0
05:48:19.964 AM 17-Feb-2015
Volume large?, Entrance Size narrow?,Number of Guards
true,true,1
true,true,4
true,true,2
true,false,1
true,false,2
true,false,0
false,true,0
false,true,0
false,true,0
false,false,0
false,false,0
false,false,0
false,false,0
05:58:03.828 AM 17-Feb-2015
LN-percent,LW-percent,SN-percent,SW-percent
1,0.67,0.33,0
Volume large?, Entrance Size narrow?,Number of Guards
true,true,1
true,true,2
true,true,1
true,false,1
true,false,1
true,false,0
false,true,0
false,true,2
false,true,2
false,false,0
false,false,0
false,false,0
false,false,0
06:08:26.396 AM 17-Feb-2015
LN-percent,LW-percent,SN-percent,SW-percent
1,0.67,0.33,0
Volume large?, Entrance Size narrow?,Number of Guards
true,true,0
true,true,1
true,true,3
true,false,4
true,false,1
true,false,0
false,true,0
false,true,1
false,true,0
false,false,0
false,false,0
false,false,0
false,false,0
06:08:40.308 AM 17-Feb-2015
LN-percent,LW-percent,SN-percent,SW-percent
1,0.67,0.33,0
Volume large?, Entrance Size narrow?,Number of Guards
true,true,3
true,true,4
true,true,0
true,false,0
true,false,0
true,false,1
false,true,1
false,true,1
false,true,0
false,false,0
false,false,0
false,false,0
false,false,0
06:10:36.944 AM 17-Feb-2015
LN-percent,LW-percent,SN-percent,SW-percent
1,0.67,0.33,0
Volume large?, Entrance Size narrow?,Number of Guards
true,true,3
true,true,1
true,true,2
true,false,2
true,false,2
true,false,0
false,true,0
false,true,0
false,true,0
false,false,0
false,false,0
false,false,0
false,false,0
06:11:07.648 AM 17-Feb-2015
LN-percent,LW-percent,SN-percent,SW-percent
1,0.67,0.33,0
Volume large?, Entrance Size narrow?,Number of Guards
true,true,39
true,true,22
true,true,32
true,false,19
true,false,31
true,false,21
false,true,12
false,true,11
false,true,13
false,false,0
false,false,0
false,false,0
false,false,0
