large-perc,small-perc,not-enough,enough-wide,enough-narrow,enough-guards-wide,enough-guards-narrow,num-ants,large-narrow,large-wide,small-narrow,small-wide,ln1,ln2,lw1,lw2,h
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,1,0,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,0,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,1,0,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,1,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,0,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,0,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,0,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,0,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,1,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,1,0,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,0,1,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,0,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,1,0,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,1,0,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,0,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,1,0,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,1,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,1,0,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,0,0,0,1,0
0.9,0.1,0.9,0.1,0.1,12,2,1,2,2,0,0,1,0,0,0,0
0.9,0.1,0.9,0.1,0.1,12,2,2,2,2,0,0,1,0,1,0,0
